GROUPE,SOUSGROUPE,ALIMENT,CALORIES,PROTEINES,GLUCIDES,LIPIDES,FRUCTOSE,SUCRES,GALACTOSE,GLUCOSE,LACTOSE,MALTOSE,SACCHAROSE,AMIDON
fruits,"fruits, légumes, légumineuses et oléagineux","Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen)",80.1,0.25,18.6,0.15,7.33,16.7,0.054,4.25,0.072,0.19,4.87,0.44
fruits,"fruits, légumes, légumineuses et oléagineux","Purée de pommes, type ""compote sans sucres ajoutés""",56.4,1.13,11.7,0.3,7.24,11.7,0.1,2.79,0.1,0.1,1.69,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Coulis de fruits rouges (framboises, fraises, groseilles, cassis)",0.0,0.8,25.1,0.54,2.79,25.1,0.0,5.17,0.0,0.22,17.2,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté",0.0,0.5,17.4,0.5,4.7,13.8,0.0,5.7,0.2,2.7,0.6,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté",0.0,0.5,18.3,0.5,4.78,14.3,0.0,5.98,0.2,2.78,0.64,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté",0.0,0.5,14.4,0.5,4.9,12.2,0.0,5.0,0.2,1.4,0.9,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté",0.0,0.5,14.5,0.061,4.96,12.3,0.0,5.12,0.2,1.3,0.94,0.58
fruits,"fruits, légumes, légumineuses et oléagineux","Abricot au sirop léger, appertisé, égoutté",0.0,0.94,13.7,0.5,3.71,13.3,0.0,4.09,0.2,0.2,5.51,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Abricot au sirop léger, appertisé, non égoutté",0.0,0.81,14.0,0.043,3.71,14.0,0.0,4.21,0.2,0.2,6.06,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Abricot au sirop, appertisé, égoutté",0.0,0.5,16.2,0.5,6.3,15.3,0.0,7.1,0.2,0.2,1.9,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Abricot au sirop, appertisé, non égoutté",0.0,0.29,16.6,0.5,6.13,15.1,0.0,7.06,0.2,0.084,1.8,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Ananas au jus d'ananas, égoutté, appertisé",0.0,0.5,13.6,0.5,3.97,12.8,0.0,4.07,0.2,0.2,4.76,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Ananas au jus d'ananas, appertisé, non égoutté",0.0,0.5,13.6,0.5,3.85,12.6,0.0,4.03,0.2,0.2,4.71,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Ananas au sirop léger, appertisé, égoutté",0.0,0.5,15.9,0.5,5.89,15.9,0.0,5.79,0.2,0.2,4.22,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Ananas au sirop léger, appertisé, non égoutté",0.0,0.5,16.0,0.078,5.77,15.7,0.0,5.78,0.2,0.2,4.18,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Pêche au sirop léger, appertisée, égouttée",0.0,0.5,13.8,0.5,4.3,13.1,0.0,4.5,0.2,0.5,3.7,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Pêche au sirop léger, appertisée, non égouttée",0.0,0.31,14.1,0.038,4.11,12.9,0.0,4.46,0.2,0.5,3.76,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Poire au sirop léger, appertisée, égouttée",64.9,0.5,13.9,0.4,6.3,11.5,0.1,3.67,0.1,0.1,1.51,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Poire au sirop léger, appertisée, non égouttée",0.0,0.3,14.5,0.12,5.35,12.1,0.0,4.4,0.2,0.78,1.56,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Abricot, dénoyauté, sec",239.0,2.88,59.1,0.5,10.6,34.3,0.2,16.0,0.2,0.2,7.7,0.35
fruits,"fruits, légumes, légumineuses et oléagineux","Datte, pulpe et peau, sèche",0.0,1.81,64.7,0.25,31.1,64.7,0.0,32.8,0.0,0.29,0.52,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Figue, sèche",0.0,2.99,54.3,0.87,23.5,49.2,0.0,25.0,0.0,0.15,0.07,5.07
fruits,"fruits, légumes, légumineuses et oléagineux","Pruneau, sec",229.0,1.63,55.4,0.4,12.5,38.1,0.0,25.5,0.0,0.06,0.15,0.35
fruits,"fruits, légumes, légumineuses et oléagineux","Raisin, sec",321.0,3.0,73.2,0.9,36.0,70.3,0.0,34.0,0.2,0.3,0.2,0.5
fruits,"fruits, légumes, légumineuses et oléagineux","Mélange apéritif de fruits exotiques, sec",389.0,2.19,69.5,10.5,19.5,59.4,0.1,21.6,0.1,0.1,18.3,6.6
fruits,"fruits, légumes, légumineuses et oléagineux","Banane, pulpe, sèche",0.0,3.89,78.4,1.81,0.0,47.3,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Pomme, sèche",0.0,0.78,57.2,0.31,0.0,54.6,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Pêche, sèche",0.0,5.0,68.9,1.0,6.7,0.0,0.0,6.1,0.0,0.0,38.3,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Canneberge ou cranberry, séchée, sucrée",333.0,0.5,76.4,1.0,28.4,72.8,0.1,32.0,0.1,0.63,11.8,0.35
fruits,"fruits, légumes, légumineuses et oléagineux","Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%)",200.0,2.31,51.1,0.4,10.3,29.9,0.2,14.9,0.2,0.2,4.7,0.35
fruits,"fruits, légumes, légumineuses et oléagineux","Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique",0.0,0.28,13.3,0.1,1.33,7.3,0.0,1.2,0.0,0.0,4.77,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Abricot pays, pulpe, cru, prélevé à la Martinique",0.0,0.48,10.8,0.05,1.4,3.7,0.0,1.5,0.0,0.0,0.8,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Ananas, pulpe, cru , prélevé à la Martinique",0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Caïmite, pulpe, cru, prélevé à la Martinique",0.0,0.31,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Cerise acérola, pulpe, crue, prélevée à la Martinique",0.0,0.56,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Chadèque, pulpe, cru, prélevé à la Martinique",0.0,0.48,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Chips d'abricot pays, pulpe, prélevé à la Martinique",0.0,0.96,68.7,18.7,3.37,33.3,0.0,4.47,0.0,0.0,25.5,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Goyave, pulpe, purée, prélevée à la Martinique",0.0,0.83,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de carambole, prélevé à la Martinique, jus filtré",0.0,4.52,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de carambole, prélevée à la Martinique, jus non filtré",0.0,0.063,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique",0.0,0.48,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique",0.0,0.69,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de corossol, prélevé à la Martinique",0.0,0.65,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus",0.0,1.08,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de grenade, prélevée à la Martinique",0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de lime, pur jus, prélevé à la Martinique",0.0,0.35,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique",0.0,0.0,0.0,0.0,2.2,9.4,0.0,2.0,0.0,0.0,5.2,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de mandarine commune, pur jus filtré, prélevée à la Martinique",0.0,0.61,8.63,0.57,1.93,8.63,0.0,1.87,0.0,0.0,4.83,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique",0.0,0.6,10.8,0.0,0.8,3.87,0.0,0.63,0.0,0.0,2.43,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de moubin, pur jus, prélevé à la Martinique",0.0,0.88,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique",0.0,0.42,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique",0.0,0.29,7.13,0.19,2.43,4.34,0.0,0.65,0.0,0.0,1.26,2.45
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique",0.0,0.44,6.55,0.28,0.021,0.03,0.0,0.006,0.0,0.0,0.0033,1.77
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique",0.0,0.69,9.97,0.21,2.92,6.14,0.0,2.27,0.0,0.0,0.95,1.11
fruits,"fruits, légumes, légumineuses et oléagineux","Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique",0.0,0.67,6.34,0.26,0.021,0.19,0.0,0.16,0.0,0.0,0.011,1.41
fruits,"fruits, légumes, légumineuses et oléagineux","Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique",0.0,0.0,0.0,0.0,4.03,17.4,0.0,3.83,0.0,0.0,9.53,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Mango bassignac, pulpe, cru, prélevé à la Martinique",0.0,0.32,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
fruits,"fruits, légumes, légumineuses et oléagineux","Mango moussache, pulpe, cru, prélevé à la Martinique",0.0,1.28,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
fruits,"fruits, légumes, légumineuses et oléagineux","Mangue julie, pulpe, crue, prélevée à la Martinique",0.0,0.71,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
fruits,"fruits, légumes, légumineuses et oléagineux","Mangue verte, pulpe, crue, prélevée à la Martinique",0.0,1.31,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
fruits,"fruits, légumes, légumineuses et oléagineux","Melon, pulpe, cru, prélevé à la Martinique",0.0,1.08,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Orange (variété locale), pulpe, prélevée à la Martinique",0.0,0.6,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Orange amère, pulpe, crue, prélevée à la Martinique",0.0,0.73,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Pastèque, pulpe, crue, prélevée à la Martinique",0.0,0.77,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Pomme cajou, pulpe, crue, prélevée à la Martinique",0.0,0.79,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Pomme cannelle,  pulpe, crue, prélevée à la Martinique",0.0,1.48,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique",0.0,0.44,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Pomme liane, pulpe, crue, prélevée à la Martinique",0.0,0.88,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique",0.0,0.54,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
fruits,"fruits, légumes, légumineuses et oléagineux","Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique",0.0,0.6,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
fruits,"fruits, légumes, légumineuses et oléagineux","Jacques, pulpe, cru, prélevé à la Martinique",0.0,1.98,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits,"fruits, légumes, légumineuses et oléagineux","Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.)",88.8,0.75,19.3,0.5,8.65,18.4,0.2,3.2,0.2,0.2,6.55,0.5
fruits,"fruits, légumes, légumineuses et oléagineux","Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen)",71.8,0.94,15.1,0.3,2.8,14.9,0.2,2.5,0.2,0.2,9.6,0.35
fruits,"fruits, légumes, légumineuses et oléagineux","Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.)",40.0,0.56,7.88,0.3,3.6,7.7,0.2,4.1,0.2,0.2,0.2,0.35
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Farine de châtaigne,0.0,6.1,70.4,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Amande (avec peau),0.0,22.6,9.51,51.3,0.2,4.2,0.2,0.2,0.2,0.2,4.0,0.35
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Cacahuète ou Arachide,0.0,26.1,14.8,49.1,0.2,5.9,0.0,0.2,0.2,0.2,5.9,5.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Cacahuète, grillée, salée",0.0,26.2,15.0,50.0,0.068,4.22,0.0,0.068,0.05,0.067,4.08,8.87
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Noisette,0.0,17.0,7.16,56.9,0.2,4.9,0.2,0.3,0.2,0.2,4.6,0.35
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noix, séchée, cerneaux",0.0,15.7,6.88,67.3,0.2,3.0,0.0,0.2,0.2,0.2,2.8,0.35
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noix de coco, amande mûre, fraîche",0.0,3.93,6.22,33.5,0.0,6.22,0.0,0.0,0.0,0.0,0.0,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noix de coco, amande, sèche",0.0,7.8,8.55,66.3,0.3,6.64,0.0,0.3,0.0,0.23,5.83,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Noix du Brésil,0.0,16.9,6.17,66.1,0.0,2.33,0.0,0.0,0.0,0.0,2.33,0.25
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Pistache, grillée, salée",0.0,22.3,15.9,49.5,0.22,7.57,0.0,0.16,0.0,0.32,6.26,3.23
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Sésame, graine",0.0,20.8,9.85,49.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.4
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Tournesol, graine",0.0,25.1,10.1,55.5,0.0,2.62,0.0,0.0,0.0,0.0,2.5,3.8
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Crème de marrons,0.0,1.51,55.0,0.67,0.2,0.0,0.0,0.4,0.2,0.3,49.5,11.5
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noix de coco, amande immature, fraîche",0.0,3.93,6.22,33.5,0.0,6.22,0.0,0.0,0.0,0.0,0.0,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Crème de marrons vanillée, appertisée",0.0,1.13,59.8,0.7,0.49,43.0,0.0,3.33,0.2,0.2,39.0,16.8
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Mélange apéritif de graines salées et raisins secs,560.0,19.6,27.1,39.6,9.4,21.6,0.0,8.5,0.2,0.2,3.7,3.7
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noix de cajou, grillée, salée",0.0,18.0,26.7,49.5,0.08,8.01,0.0,0.08,0.0,0.05,6.9,17.7
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Châtaigne, bouillie/cuite à l'eau",0.0,2.36,23.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Châtaigne, grillée",0.0,3.74,47.9,2.2,0.0,10.6,0.0,0.0,0.0,0.0,10.0,32.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noix, fraîche",0.0,12.9,9.94,31.8,0.5,1.3,0.2,0.6,0.2,0.2,0.2,0.35
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Châtaigne, crue",0.0,2.13,36.5,2.23,0.0,7.86,0.0,0.0,0.0,0.0,0.0,28.6
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Pignon de pin,0.0,16.2,6.31,65.0,0.063,5.21,0.0,0.12,0.0,0.27,4.75,1.1
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Noix de pécan,0.0,11.3,5.43,72.6,0.04,3.64,0.0,0.04,0.0,0.05,3.56,0.46
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Noix de macadamia,0.0,9.33,5.22,75.8,0.065,4.24,0.0,0.065,0.0,0.0,4.11,0.98
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Cucurbitacées, graine",0.0,35.6,4.71,49.1,0.15,1.4,0.0,0.13,0.0,0.0,1.12,1.47
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Luzerne, graine germée",0.0,3.87,0.91,0.7,0.12,0.2,0.0,0.08,0.0,0.0,0.0,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Luzerne, graine",0.0,35.0,39.3,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Noisette grillée,0.0,17.0,5.21,66.0,0.061,4.26,0.0,0.061,0.0,0.0,4.13,0.96
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Lin, graine",0.0,23.9,6.6,36.6,0.0,1.55,0.0,0.4,0.0,0.0,1.15,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Sésame, graine décortiquée",0.0,24.9,4.5,56.1,0.07,0.48,0.0,0.1,0.0,0.0,0.31,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Cacahuète, grillée à sec, salée",0.0,24.8,18.2,47.7,0.0,3.7,0.0,0.1,0.0,0.1,3.7,12.1
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Sésame, grillé, graine décortiquée",0.0,20.0,9.14,48.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Châtaigne ou Marron, appertisé",0.0,2.31,28.8,1.4,0.5,3.9,0.0,0.5,0.5,0.5,3.9,17.4
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Amande, mondée, émondée ou blanchie",0.0,25.8,8.76,52.5,0.0,4.63,0.0,0.03,0.0,0.14,4.46,1.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Amande, grillée, salée",0.0,24.1,8.72,53.9,0.01,4.86,0.0,0.01,0.0,0.09,4.75,0.73
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noix de macadamia, grillée, salée",0.0,8.3,9.95,70.2,0.07,4.4,0.0,0.07,0.0,0.0,4.0,4.2
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Pistache, grillée",0.0,21.7,18.6,47.4,0.22,7.74,0.0,0.26,0.0,0.13,7.12,1.38
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Tournesol, graine, grillé, salé",0.0,22.8,15.1,49.8,0.0,2.73,0.0,0.03,0.0,0.0,2.7,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noix de pécan, salées",0.0,12.0,5.0,73.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.1
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Chia, graine, séchée",0.0,19.5,7.72,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Mélange apéritif de graines (non salées) et fruits séchés,0.0,9.78,32.2,26.3,0.0,7.0,0.0,0.0,0.0,0.0,0.0,16.4
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Mélange apéritif de graines (non salées) et raisins secs,541.0,14.8,31.8,37.2,14.8,29.4,0.1,14.2,0.1,0.22,0.22,2.2
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noisette grillée, salée",0.0,15.8,7.67,61.2,0.0,2.91,0.0,0.0,0.0,0.0,0.0,4.76
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Lin, brun, graine",0.0,21.3,3.56,42.2,0.2,1.4,0.0,0.3,0.2,0.2,1.1,0.35
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Cacahuète, grillée, sans sel ajouté",0.0,26.8,11.3,51.9,0.0,2.54,0.0,0.0,0.0,0.0,2.54,8.72
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noix de cajou, grillée, non salée",618.0,20.5,21.3,48.1,0.1,6.64,0.1,0.1,0.1,0.58,6.06,10.8
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Noix de cajou, grillée à sec, non salée",630.0,20.5,23.5,49.0,0.1,6.63,0.1,0.1,0.1,0.1,6.63,11.8
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Pâte d'amande, préemballée",432.0,7.0,70.3,13.5,5.32,60.1,0.1,5.52,0.1,0.41,48.8,0.35
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Beurre de cacahuète ou Pâte d'arachide,0.0,25.4,16.1,52.5,0.12,10.5,0.0,0.13,0.0,0.0,10.2,3.56
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux",Tahin ou Purée de sésame,0.0,20.3,13.8,53.4,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Arachide, bouillie/cuite à l'eau, salée",0.0,15.5,9.54,22.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0
fruits à coque et graines oléagineuses,"fruits, légumes, légumineuses et oléagineux","Soja, graine entière",432.0,37.8,20.8,19.2,0.0,7.33,0.0,0.0,0.0,0.0,6.1,12.3
"pâtes, riz et céréales",produits céréaliers,"Blé dur précuit, grains entiers, cuit, non salé",149.0,5.94,27.4,0.9,0.2,0.0,0.2,0.2,0.2,0.2,0.2,25.0
"pâtes, riz et céréales",produits céréaliers,"Nouilles asiatiques cuites, aromatisées",147.0,5.12,18.8,4.3,0.2,2.0,0.0,0.7,0.1,0.17,0.17,0.0
"pâtes, riz et céréales",produits céréaliers,"Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées",165.0,3.75,21.4,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8
"pâtes, riz et céréales",produits céréaliers,"Riz complet, cuit, non salé",158.0,3.38,32.6,1.0,0.2,0.2,0.0,0.2,0.2,0.2,0.2,30.4
"pâtes, riz et céréales",produits céréaliers,"Riz blanc, cuit, non salé",145.0,3.06,31.8,0.41,0.2,0.2,0.0,0.2,0.2,0.2,0.2,27.7
"pâtes, riz et céréales",produits céréaliers,"Riz blanc étuvé, cuit, non salé",146.0,3.1,31.7,0.56,0.02,0.11,0.0,0.01,0.0,0.0,0.08,28.5
"pâtes, riz et céréales",produits céréaliers,"Riz rouge, cuit, non salé",141.0,3.63,28.2,0.69,0.5,0.0,0.0,0.5,0.5,0.5,0.5,27.0
"pâtes, riz et céréales",produits céréaliers,"Riz sauvage, cuit, non salé",102.0,3.99,19.7,0.34,0.2,0.73,0.0,0.2,0.0,0.0,0.33,0.0
"pâtes, riz et céréales",produits céréaliers,"Riz thaï, cuit, non salé",143.0,3.06,30.5,0.7,0.2,0.0,0.0,0.2,0.2,0.2,0.2,30.3
"pâtes, riz et céréales",produits céréaliers,"Riz basmati, cuit, non salé",117.0,2.88,24.4,0.6,0.2,0.0,0.0,0.2,0.2,0.2,0.2,23.6
"pâtes, riz et céréales",produits céréaliers,"Flocons d'avoine, bouillis/cuits à l'eau",75.5,2.72,11.9,1.52,0.0,0.27,0.02,0.0,0.0,0.0,0.25,11.6
"pâtes, riz et céréales",produits céréaliers,"Orge perlée, bouilli/cuite à l'eau, non salée",119.0,2.42,24.4,0.44,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
"pâtes, riz et céréales",produits céréaliers,"Mil, cuit, non salé",116.0,3.76,22.4,1.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
"pâtes, riz et céréales",produits céréaliers,"Quinoa, bouilli/cuit à l'eau, non salé",149.0,5.0,27.9,1.1,0.1,0.87,0.1,0.1,0.1,0.1,0.87,24.3
